CASEID,HRSRELAX,MNTLHLTH
53044, 2, 3
53045, 4, 6
53046,-1,-1
53047,-1,-1
53048,-1,-1
53049,-1,-1
53050, 3, 0
53051,-1,-1
53052, 0, 0
53053, 5,10
53054, 5, 0
53055,-1,-1
53056, 3, 0
53057,-1,-1
53058,-1,-1
53059,-1,-1
53060,-1,-1
53061,-1,-1
53062,-1,-1
53063, 2, 5
53064, 5, 0
53065,10, 0
53066,-1,-1
53067,-1,-1
53068, 0, 0
53069, 2,15
53070,-1,-1
53071, 3,30
53072, 1,10
53073, 4, 0
53074, 6, 0
53075,-1,-1
53076,-1,-1
53077,-1,-1
53078, 6, 0
53079, 5, 0
53080,98, 0
53081, 4, 0
53082,-1,-1
53083,-1,-1
53084, 3, 5
53085, 3, 5
53086, 4, 0
53087, 3, 0
53088,99,99
53089,-1,-1
53090, 2,10
53091,-1,-1
53092, 5, 0
53093, 2, 0
53094, 0, 0
53095,-1,-1
53096, 2,99
53097,-1,-1
53098,-1,-1
53099,-1,-1
53100, 2,15
53101, 2, 0
53102, 4, 0
53103, 6, 5
53104, 3, 0
53105, 3, 0
53106,-1,-1
53107,-1,-1
53108, 4, 1
53109, 3, 0
53110,-1,-1
53111,-1,-1
53112,-1,-1
53113,-1,-1
53114, 2, 0
53115, 6, 3
53116,-1,-1
53117, 3, 0
53118, 5, 0
53119, 2,20
53120,-1,-1
53121, 1, 4
53122, 8,30
53123,-1,-1
53124, 2, 3
53125, 8, 0
53126, 1, 0
53127, 3, 3
53128,-1,-1
53129, 4, 0
53130, 4, 0
53131, 2,15
53132, 2, 5
53133,-1,-1
53134, 2, 0
53135, 2, 0
53136, 0, 0
53137, 4, 0
53138, 1, 4
53139,-1,-1
53140, 2,98
53141, 2, 0
53142,98, 0
53143, 4, 0
53144,-1,-1
53145, 2, 0
53146, 2,98
53147, 3, 0
53148, 2, 0
53149,-1,-1
53150, 8,30
53151, 4, 0
53152, 3, 0
53153, 2, 3
53154,-1,-1
53155,-1,-1
53156, 4,30
53157, 2, 0
53158, 3, 1
53159,-1,-1
53160, 4, 0
53161, 4, 0
53162, 3,99
53163, 2, 0
53164,-1,-1
53165, 5, 4
53166, 1, 0
53167,-1,-1
53168, 5, 1
53169,18, 0
53170, 4, 0
53171,-1,-1
53172, 2, 0
53173, 3, 0
53174,-1,-1
53175, 2,20
53176, 8, 0
53177, 4, 2
53178, 1, 2
53179,14, 0
53180, 6, 1
53181, 2, 1
53182, 2, 0
53183, 3, 0
53184, 2, 2
53185,-1,-1
53186,12, 0
53187, 2, 0
53188, 1, 3
53189,-1,-1
53190,-1,-1
53191, 4, 0
53192, 2, 2
53193,98,98
53194, 3, 0
53195, 2, 0
53196, 5, 0
53197, 4, 0
53198, 1, 0
53199, 2, 0
53200, 2,14
53201, 0, 0
53202,-1,-1
53203, 4, 0
53204, 5,15
53205, 4, 0
53206, 2, 5
53207, 8, 0
53208, 4, 1
53209, 4,30
53210,-1,-1
53211,-1,-1
53212,-1,-1
53213, 1, 0
53214, 4, 0
53215, 6, 0
53216, 5, 0
53217, 4, 0
53218, 1,14
53219,-1,-1
53220, 2, 0
53221, 1, 0
53222, 5, 0
53223,-1,-1
53224, 8, 3
53225, 5, 4
53226, 3, 5
53227, 8,29
53228, 1, 2
53229, 4, 0
53230, 5, 0
53231, 4, 2
53232, 1, 3
53233, 2, 4
53234, 3,10
53235, 4, 0
53236, 6, 0
53237, 5, 0
53238, 3, 0
53239,-1,-1
53240,-1,-1
53241, 8, 0
53242, 2, 0
53243,-1,-1
53244, 4, 0
53245,-1,-1
53246,-1,-1
53247, 0, 0
53248, 7, 1
53249,-1,-1
53250, 4, 0
53251, 2,14
53252, 3, 0
53253,-1,-1
53254,-1,-1
53255, 5, 0
53256,-1,-1
53257,-1,-1
53258, 5, 0
53259,-1,-1
53260,-1,-1
53261, 5, 2
53262,-1,-1
53263, 1, 0
53264, 3, 4
53265, 0, 7
53266,-1,-1
53267, 0, 5
53268,-1,-1
53269,-1,-1
53270,-1,-1
53271, 7, 0
53272, 3, 0
53273, 4, 0
53274, 3, 0
53275,-1,-1
53276,-1,-1
53277, 4, 0
53278,-1,-1
53279,-1,-1
53280,-1,-1
53281, 1, 0
